usage_start,product_code,usage_type,resource_id,tier,nodepool,unblended_cost_usd
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-087e0024f55f92c5c,apps-compute,apps-compute,0.0003151296
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0eda89bc8ff475b3e,apps-serving,apps-serving,0.0003107222
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-04dc7d23b0e3e1853,database,,0.0002966911
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0c5a766c76c0b5edb,apps-serving,apps-serving,0.0002674812
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,0.0001362995
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0cbd317f11af8998a,database,,0.0001063537
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0cbd317f11af8998a,database,,4.86072e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0cec629d07f4b8dfb,apps-compute,apps-compute,4.63537e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0b7fe59464ca9a524,apps-serving,apps-serving,4.56385e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-000647b3154cc26d5,apps-compute,apps-compute,4.56084e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0428722104546b18b,apps-serving,apps-serving,4.28226e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,3.08338e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-USE1-AWS-Out-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,2.4639e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EUW3-AWS-Out-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,1.52962e-05
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-000647b3154cc26d5,apps-compute,apps-compute,6.0344e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0428722104546b18b,apps-serving,apps-serving,5.9114e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier1,simple-rag-raw-docs-07f373d08a67,shared,,5.4e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier1,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,5.4e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier1,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,5.4e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier1,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,5.4e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier1,simple-rag-raw-docs-07f373d08a67,shared,,5.4e-06
2026-09-04T13:00:00Z,AmazonS3,Requests-Tier1,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,5e-06
