# Prometheus TSDB from orphaned volume vol-08044db097d9917e2 (09-04 cluster), queried at 2026-09-04T18:30:00Z
# method: volume mounted read-only on a temporary t3.medium (i-08c951c87d0b77ad6, self-terminated), Prometheus 3.5.0 on a copy, 2026-09-10
# format: PROBE|query|labels|value ; network in bytes/s over rate[10m], cpu in cores, apiserver in req/s
# hostNetwork pods (node-exporter, cilium*, eks-pod-identity-agent) report their node's interfaces, not their own traffic
PROBE|pod_node|namespace=kube-system pod=eks-pod-identity-agent-gkr8n node=ip-10-0-10-217.eu-central-1.compute.internal host_ip=10.0.10.217|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-jwwq9 node=ip-10-0-12-86.eu-central-1.compute.internal host_ip=10.0.12.86|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-node-9gl5k node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-kube-prometheus-operator-7d89d8b68-rxv67 node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=monitoring pod=prometheus-monitoring-kube-prometheus-prometheus-0 node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=argocd pod=argocd-server-54d67dc9c-hftnz node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-operator-8dc98466f-qlznw node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=monitoring pod=alertmanager-monitoring-kube-prometheus-alertmanager-0 node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=argocd pod=argocd-image-updater-5fbd7dbf4d-qbgc9 node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=kube-system pod=eks-pod-identity-agent-jgzn8 node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-prometheus-node-exporter-72f2z node=ip-10-0-10-217.eu-central-1.compute.internal host_ip=10.0.10.217|1.0
PROBE|pod_node|namespace=argocd pod=argocd-applicationset-controller-68c7dc74cd-mtmg8 node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=rag-platform pod=qdrant-1 node=ip-10-0-12-86.eu-central-1.compute.internal host_ip=10.0.12.86|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-envoy-plxts node=ip-10-0-12-86.eu-central-1.compute.internal host_ip=10.0.12.86|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-promtail-gr9sj node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-node-qqgp4 node=ip-10-0-10-217.eu-central-1.compute.internal host_ip=10.0.10.217|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-promtail-cl42k node=ip-10-0-12-86.eu-central-1.compute.internal host_ip=10.0.12.86|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-controller-7588875979-pjfls node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-grafana-57b98c9b67-gdxvg node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-prometheus-node-exporter-49xft node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=keda pod=keda-operator-metrics-apiserver-785f9d6764-jrk6w node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
